RenamedPop	Ind	Lat	Long	Cone_Length..cm.	Weight_seed..g.	wt10
FEN	FEN_2	33.2496153	-105.5950936	12.39	0.192282	1.92282
FEN	FEN_3	33.25009835	-105.5976576	8.59	0.04268	0.4268
FEN	FEN_4	33.24956727	-105.5959139	9.62	0.269058	2.69058
FEN	FEN_5	33.24956727	-105.5959139	13.5	0.243	2.43
FEN	FEN_6	33.24956727	-105.5959139	13.17	0.209	2.09
FEN	FEN_7	33.24956727	-105.5959139	15.82	0.253	2.53
FEN	FEN_8	33.24956727	-105.5959139	14.92	0.254	2.54
FEN	FEN_9	33.24956727	-105.5959139	12.88	0.213	2.13
HO	HO-346	38.07063	-105.5881	7.57	NA	1.3355
HO	HO-348	38.07081	-105.58784	8.31	NA	1.3955
HO	HO-349	38.07093	-105.58785	8.93	NA	1.2276
HO	HO-350	38.07081	-105.58813	8.65	NA	1.1483
HO	HO-352	38.07074	-105.58836	10.23	NA	1.3677
JEN	JEN-146	39.93334	-105.6602	6.68	NA	0.9076
JEN	JEN-148	39.93358	-105.65927	7.15	NA	0.776
JEN	JEN-150	39.93367	-105.65898	6.47	NA	0.6068
JEN	JEN-152	39.93366	-105.65845	6.99	NA	0.5911
JEN	JEN-155	39.93361	-105.66002	9.21	NA	1.0089
JV	JV-123	41.03238	-106.08797	8.95	NA	0.923
JV	JV-125	41.03247	-106.08916	8.29	NA	1.112
JV	JV-127	41.03288	-106.08995	8.38	NA	1.0094
JV	JV-129	41.03208	-106.08704	8.49	NA	0.931
JV	JV-131	41.03171	-106.08619	7.57	NA	0.7805
KLO	KLO_1	35.40397103	-111.8432955	9.21	0.130922	1.30922
KLO	KLO_2	35.40535446	-111.8439313	13.18	0.163846	1.63846
KLO	KLO_3	35.40613381	-111.8440174	9.73	0.16673	1.6673
LON	LON_LON178	32.68207538	-105.6390079	15.33	0.152748	1.52748
LON	LON_LON178	32.68070821	-105.6386396	13.59	0.131236	1.31236
LON	LON_LON178	32.67911833	-105.6377351	12.01	0.108814	1.08814
LON	LON_LON178	32.68161085	-105.6386316	10.52	0.079088	0.79088
MEL	MEL-6066	38.06844	-110.81678	9.1	NA	1.2332
MEL	MEL-6068	38.06891	-110.81631	9.74	NA	0.8443
MEL	MEL-6070	38.06875	-110.81577	8.66	NA	0.8025
MEL	MEL-6072	38.06815	-110.81965	10.52	NA	1.142
MEL	MEL-6074	38.07055	-110.82078	10.3	NA	1.1677
MSL	MSL-23	37.73605	-105.44882	8.02	NA	0.904
MSL	MSL-27	37.73239	-105.45189	8.59	NA	1.4799
MSL	MSL-29	37.73186	-105.45262	8.67	NA	0.8211
MSL	MSL-37	37.7368	-105.45502	8.45	NA	0.9869
MSL	MSL-40	37.73189	-105.4524	8.18	NA	0.9665
OBS	OBS_OBS57	33.99145346	-107.180345	7.34	0.06582	0.6582
OBS	OBS_OBS57	33.99046733	-107.1810959	11.72	0.144398	1.44398
OBS	OBS_OBS57	33.99040556	-107.1817728	13.25	0.137492	1.37492
OBS	OBS_OBS57	33.99210138	-107.1812003	12.55	0.181888	1.81888
PEA	PEA_1	32.92568	-108.16537	10.94	0.084688	0.84688
PEA	PEA_2	32.92666	-108.16381	12.85	0.116258	1.16258
PEA	PEA_3	32.92581	-108.16496	10.16	0.059866	0.59866
PEA	PEA_4	32.92747	-108.16423	10.79	0.077186	0.77186
WY	PHA-105	41.26749	-105.43392	7.09	NA	0.9119
WY	PHA-106	41.26752	-105.43344	8.67	NA	0.8056
WY	PHA-107	41.27083	-105.43349	9.55	NA	1.0849
WY	PHA-108	41.26683	-105.43448	8.57	NA	0.9544
WY	PHA-109	41.26657	-105.43464	7.82	NA	0.85
WY	PHA-110	41.26686	-105.43516	9.41	NA	0.8131
WY	PHA-111	41.26723	-105.43516	8.03	NA	0.7672
WY	PHA-112	41.26885	-105.43519	9.19	NA	0.8248
WY	PHA-113	41.26888	-105.43418	10.31	NA	1.1173
WY	PHA-114	41.26658	-105.43314	9.08	NA	0.6971
PIN	PIN_PIN225	31.93404517	-109.2734985	13.55	0.146968	1.46968
PIN	PIN_PIN225	31.93483927	-109.2746007	12.05	0.145728	1.45728
ROA	ROA_ROA152	35.34763861	-111.6241681	10.25	0.126954	1.26954
ROA	ROA_ROA152	35.34895247	-111.6247666	13.51	0.135216	1.35216
ROA	ROA_ROA152	35.34855668	-111.6250021	11.23	0.118692	1.18692
SAM	SAM_1	27.29923	-107.52639	25.95	0.3385	3.385
SAM	SAM_2	27.29907	-107.5281	19.65	0.1942	1.942
SAM	SAM_3	27.30137	-107.52774	24.34	0.2308	2.308
SAM	SAM_4	27.29966	-107.52687	21.75	0.2441	2.441
SAM	SAM_5	27.30034	-107.52699	24.14	0.355	3.55
SCR	SCR_SCR241	32.44789624	-110.7846458	16.01	0.252748	2.52748
SCR	SCR_SCR241	32.45097407	-110.7833835	13.99	0.20813	2.0813
SCR	SCR_SCR241	32.44768912	-110.7854062	18.98	0.234472	2.34472
SCR	SCR_SCR241	32.45039941	-110.7835886	15.7	0.190622	1.90622
SCR	SCR_SCR241	32.4482875	-110.7835421	13.27	0.166022	1.66022
SEG	SEG_1	35.15773854	-108.1050525	10.66	0.058532	0.58532
SEG	SEG_2	35.15720596	-108.1051131	9.45	0.075396	0.75396
VC	VC-331	38.07401	-105.6036	8.91	NA	1.149
VC	VC-332	38.08422	-105.57351	8.7	NA	0.7907
VC	VC-333	38.08418	-105.5734	10.96	NA	1.1096
VC	VC-334	38.084	-105.57314	9.06	NA	0.9439
VC	VC-335	38.08339	-105.57167	8.45	NA	0.9124
WIT	WIT_WIT67	33.87998211	-107.4856496	11.56	0.081236	0.81236
WIT	WIT_WIT67	33.88022946	-107.4863683	8.86	0.104494	1.04494
WIT	WIT_WIT67	33.87963887	-107.4865569	13.15	0.134994	1.34994
WIT	WIT_WIT67	33.88002804	-107.4855879	11.16	0.126702	1.26702
WIT	WIT_WIT67	33.87839718	-107.4847743	11.17	0.095758	0.95758
YEC	YEC_1	28.33191667	-109.0293056	21.73	0.3911	3.911
YEC	YEC_2	28.33175	-109.0282222	17.3	0.2188	2.188
YEC	YEC_3	28.33177778	-109.0276667	19.6	0.2576	2.576
YEC	YEC_4	28.33116667	-109.0304444	23.43	0.39	3.9
YEC	YEC_5	28.32836111	-109.0276111	23.42	0.3396	3.396
